title,brand,gender,mrp,discount_percent,price_after_discount,star_rating,num_ratings,product_link,scraped_on
Men Dashbomb Running Shoes,ADIDAS,men,4999,60,1999,4.3,34,https://www.myntra.com/sports-shoes/adidas/adidas-men-dashbomb-woven-design-running-shoes/32355745/buy,2025-10-10T15:31:02.519637+05:30
Men Dashbomb Running Shoes,ADIDAS,men,4999,60,1999,3.8,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-dashbomb-woven-design-running-shoes/32355739/buy,2025-10-10T15:34:23.923985+05:30
Men LightRun Stride Shoes,ADIDAS,men,4999,60,1999,4.8,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-lightrun-stride-running-shoes/34010001/buy,2025-10-10T15:35:12.444071+05:30
Men Cloudfoam Walking Shoes,ADIDAS,men,4999,60,1999,,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-fauxx-run-20-cloudfoam-walking-shoes/33945726/buy,2025-10-10T15:38:11.329104+05:30
Men Woven Zapid Running Shoes,ADIDAS,men,4299,53,1999,4.3,333,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-zapid-running-shoes/26516358/buy,2025-10-10T15:43:03.856126+05:30
Fauxx Run Men Running Shoes,ADIDAS,men,4999,60,1999,4.2,41,https://www.myntra.com/sports-shoes/adidas/adidas-fauxx-run-men-running-shoes/32704395/buy,2025-10-10T15:45:07.920094+05:30
Men ZapCore Running Shoes,ADIDAS,men,4799,58,1999,4.5,213,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-zapcore-running-shoes/26516232/buy,2025-10-10T15:46:04.456623+05:30
Men AeroBlazeBurst Run Shoes,ADIDAS,men,4999,59,2000,4.7,17,https://www.myntra.com/sports-shoes/adidas/adidas-men-aeroblazeburst-woven-design-running-shoes/34009934/buy,2025-10-10T15:25:33.448505+05:30
Men Dash-run Shoes,ADIDAS,men,4999,59,2000,4.3,124,https://www.myntra.com/sports-shoes/adidas/adidas-men-dash-run-running-shoes/29885158/buy,2025-10-10T15:31:03.081203+05:30
Men Tramp Pro Trekking Shoes,ADIDAS,men,4999,59,2000,4.7,11,https://www.myntra.com/sports-shoes/adidas/adidas-men-tramp-pro-trekking-shoes/30944368/buy,2025-10-10T15:37:49.157994+05:30
Men Tramp Pro Trekking Shoes,ADIDAS,men,4999,59,2002,4.5,26,https://www.myntra.com/sports-shoes/adidas/adidas-men-tramp-pro-terrex-trekking-shoes/32355726/buy,2025-10-10T15:35:07.125869+05:30
Men AeroLeapLoom Running Shoes,ADIDAS,men,4999,59,2002,4.4,13,https://www.myntra.com/sports-shoes/adidas/adidas-men-aeroleaploom-running-shoes/32355610/buy,2025-10-10T15:50:07.845039+05:30
Men SteertAhead Running Shoes,ADIDAS,men,3599,44,2015,4.3,402,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-steertahead-running-shoes/20071060/buy,2025-10-10T15:27:28.586139+05:30
Lite Racer 4 Men Sports Shoes,ADIDAS,men,5599,63,2049,4.9,10,https://www.myntra.com/sports-shoes/adidas/adidas-lite-racer-40-men-running-sports-shoes/31019556/buy,2025-10-10T15:39:53.529063+05:30
Men Track Fun Running Shoes,ADIDAS,men,5599,63,2050,4.6,86,https://www.myntra.com/sports-shoes/adidas/adidas-men-track-fun-colourblocked-running-shoes/29885213/buy,2025-10-10T15:33:25.728908+05:30
Men Aztecx Skateboarding Shoes,ADIDAS,men,4599,54,2070,4.2,160,https://www.myntra.com/sports-shoes/adidas/adidas-men-aztecx-skateboarding-shoes/32264880/buy,2025-10-10T15:31:01.209646+05:30
Men Hoist-Up Stroll Trekking,ADIDAS,men,4599,54,2070,4.6,66,https://www.myntra.com/sports-shoes/adidas/adidas-men-hoist-up-stroll-trekking-shoes/32355591/buy,2025-10-10T15:46:20.096578+05:30
Men Lightrun Hone Shoes,ADIDAS,men,5999,65,2098,,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-lightrun-hone-shoes/32355679/buy,2025-10-10T15:41:16.941439+05:30
Men Lightrun Hone Sports Shoes,ADIDAS,men,5999,65,2099,4.3,77,https://www.myntra.com/sports-shoes/adidas/adidas-men-lightrun-hone-sports-shoes/32355649/buy,2025-10-10T15:26:11.906353+05:30
Men TimorXRun Shoes,ADIDAS,men,5599,62,2099,,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-timorxrun-shoes/33945702/buy,2025-10-10T15:32:36.909052+05:30
Men AeroBlitzStep Run Shoes,ADIDAS,men,5299,60,2099,4.3,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-aeroblitzstep-running-shoes/34009958/buy,2025-10-10T15:34:01.285885+05:30
Men AeroBlitzStep Run Shoes,ADIDAS,men,5299,60,2099,4.4,17,https://www.myntra.com/sports-shoes/adidas/adidas-men-aeroblitzstep-running-shoes/34009968/buy,2025-10-10T15:35:22.826556+05:30
Men Lightrun Lit Running Shoes,ADIDAS,men,5999,65,2099,4.1,10,https://www.myntra.com/sports-shoes/adidas/adidas-men-lightrun-lit-running-shoes/29885201/buy,2025-10-10T15:36:23.072104+05:30
Men LightRun-Win Running Shoes,ADIDAS,men,5999,65,2099,4.5,36,https://www.myntra.com/sports-shoes/adidas/adidas-men-lightrun-win-running-shoes/29885164/buy,2025-10-10T15:37:06.842070+05:30
Lightrun Hone Men Sports Shoes,ADIDAS,men,5999,65,2099,,0,https://www.myntra.com/sports-shoes/adidas/adidas-lightrun-hone-men-running-shoes/31613963/buy,2025-10-10T15:41:20.091517+05:30
Men Lightrun Lit Run Shoes,ADIDAS,men,5999,64,2100,4.5,65,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-lightrun-lit-running-shoes/29885142/buy,2025-10-10T15:44:49.360642+05:30
Men Track-One Running Shoes,ADIDAS,men,5299,60,2119,4.1,16,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-track-one-running-shoes/29885121/buy,2025-10-10T15:34:13.995843+05:30
Men STOUTRUN ST Running Shoes,ADIDAS,men,5299,60,2119,4.7,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-stoutrun-st-ortholite-running-shoes/32355700/buy,2025-10-10T15:37:38.713705+05:30
Men Track-one Running Shoes,ADIDAS,men,5299,59,2120,4.2,38,https://www.myntra.com/sports-shoes/adidas/adidas-men-track-one-running-shoes/32355669/buy,2025-10-10T15:34:06.244893+05:30
Men Track-One Running Shoes,ADIDAS,men,5299,59,2120,4.2,18,https://www.myntra.com/sports-shoes/adidas/adidas-men-track-one-running-shoes/29885182/buy,2025-10-10T15:37:14.125919+05:30
Men DashJazz Running Shoes,ADIDAS,men,5299,59,2120,4.3,48,https://www.myntra.com/sports-shoes/adidas/adidas-men-dashjazz-running-shoes/29885192/buy,2025-10-10T15:42:16.624877+05:30
Men Track-one Running Shoes,ADIDAS,men,5299,59,2122,4.1,53,https://www.myntra.com/sports-shoes/adidas/adidas-men-track-one-running-shoes/32355586/buy,2025-10-10T15:34:41.605873+05:30
Men Step-N-Pace Running Shoes,ADIDAS,men,5299,59,2133,4.3,145,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-step-n-pace-running-shoes/23129958/buy,2025-10-10T15:31:25.706156+05:30
Men Cloudfoam Walking Shoes,ADIDAS,men,5999,64,2136,4.8,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-cloudfoam-move-sock-walking-shoes/29021370/buy,2025-10-10T15:34:16.613332+05:30
Men Perforated Voge Shoes,ADIDAS,men,5999,64,2136,4.3,92,https://www.myntra.com/sports-shoes/adidas/adidas-men-perforated-voge-shoes/26517648/buy,2025-10-10T15:46:19.973750+05:30
Men Lightrun Lit Run Shoes,ADIDAS,men,5999,64,2136,4.6,22,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-lightrun-lit-running-shoes/29885147/buy,2025-10-10T15:50:35.741995+05:30
Cushon Men Walking Shoes,ADIDAS,men,3599,40,2159,4.3,33,https://www.myntra.com/sports-shoes/adidas/adidas-cushon-men-walking-shoes-/32871566/buy,2025-10-10T15:33:29.609876+05:30
Men Jauntza Running Shoes,ADIDAS,men,3599,40,2159,3.9,29,https://www.myntra.com/sports-shoes/adidas/adidas-men-jauntza-m-running-lace-ups-shoes/31381503/buy,2025-10-10T15:36:38.212446+05:30
Men Powerlish Walking Shoes,ADIDAS,men,4799,54,2160,4.3,46,https://www.myntra.com/sports-shoes/adidas/adidas-men-powerlish-walking-shoes/29884032/buy,2025-10-10T15:36:38.341522+05:30
Men Speudo Running Shoes,ADIDAS,men,4799,54,2160,4.6,32,https://www.myntra.com/sports-shoes/adidas/adidas-men-speudo-running-shoes/32355735/buy,2025-10-10T15:37:48.778777+05:30
Men Tennis Wiz Shoes,ADIDAS,men,4799,54,2160,4.1,40,https://www.myntra.com/sports-shoes/adidas/adidas-men-tennis-wiz-shoes/32355665/buy,2025-10-10T15:40:40.374354+05:30
Men Sterlinn Running Shoes,ADIDAS,men,5599,61,2175,4.2,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-sterlinn-ortholite-running-shoes/34010017/buy,2025-10-10T15:43:53.635304+05:30
Men Spdwin Ortholite Run Shoes,ADIDAS,men,4299,49,2192,4.7,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-spdwin-ortholite-running-shoes/32355685/buy,2025-10-10T15:37:38.449100+05:30
Air Hustle Men Sports Shoes,ADIDAS,men,3799,42,2199,,0,https://www.myntra.com/sports-shoes/adidas/adidas-air-hustle-men-sports-shoes/35365037/buy,2025-10-10T15:22:19.454789+05:30
Men Zarorx Speed Running Shoes,ADIDAS,men,4999,56,2199,4.3,114,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-zarorx-speed-running-shoes/26516196/buy,2025-10-10T15:27:19.080126+05:30
